Year,GDP,LnGDP,Deposit,Loan,D/G,L/G
1999,1018.97,6.926547592,9160001,8945730,0.898947074,0.877918879
2000,1191.25,7.082758455,10560624,9564293,0.88651618,0.802878741
2001,1368.55,7.221507064,12323942,10798871,0.900510906,0.78907391
2002,1583.51,7.367399181,15225733,13044792,0.961517957,0.823789682
2003,1869.44,7.5333942,18920868,16783917,1.012114216,0.89780453
2004,2270.16,7.727605593,22462592,18472613,0.989471755,0.813714143
2005,2687.46,7.896351789,26975372,20394792,1.003749712,0.758887276
2006,3183.18,8.065635976,32453583,25779442,1.019533391,0.809864412
2007,3750.16,8.229553785,38915882,30970553,1.037712578,0.825846177
2008,4401.56,8.389714303,47353803,37483209,1.075841361,0.851589187
2009,4853.87,8.487531604,63019764,48735326,1.298340582,1.004050912
2010,5666.19,8.642272213,76592065,58862263,1.351738382,1.038833202
2011,6615.6,8.797185775,86384994,69477500,1.305777163,1.050207086
2012,7302.11,8.895918626,94348924,79465532,1.29207755,1.088254381
2013,8006.56,8.988016485,109695588,88607439,1.370071391,1.106685505
2014,8692.1,9.070169846,113703085,97200532,1.308119844,1.118262928
2015,9300.07,9.137777206,125330268,107718528,1.347627147,1.158255024
2016,10011.29,9.211468735,140071344,118916821,1.399133818,1.187827153
